Image Name,Width,Height,Total Pixels,Total Execution Time (ms)
"sample4.jpg",405,226,91530,29.8838
"sample2.jpg",393,289,113577,15.2119
"sample18.jpg",328,270,88560,11.835
"sample13.jpg",1242,840,1043280,148.188
"sample11.jpg",1280,1280,1638400,215.716
"sample16.jpg",1200,675,810000,102.14
"sample6.jpg",1200,675,810000,97.21
"sample9.jpg",394,251,98894,11.5439
"sample15.jpg",769,711,546759,67.2666
"sample12.jpg",379,282,106878,14.391
"sample14.jpg",1280,819,1048320,129.954
"sample10.jpg",1200,675,810000,98.6047
"sample17.jpg",435,289,125715,15.7434
"sample7.jpg",739,589,435271,54.8689
"sample5.jpg",387,270,104490,14.5266
"sample3.jpg",393,289,113577,14.1021
"sample20.jpg",1280,822,1052160,131.82
"sample22.jpg",1200,675,810000,97.7432
"sample8.jpg",474,265,125610,15.7273
"sample19.jpg",1200,618,741600,91.0933
